Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0056707,0.0010627,0.32086,0,0,0,17.12,0.30093,0.00060521,-3.1073E-05,0.32303,-3.7563E-08,0.46879,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/base_link.STL,,Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_B-1;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_D-2;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_C-2;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/bottom_wall_protector_B-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/bottom_wall_protector_C-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/robot_base-1;Robot_first_floor_with_cover-1/robot_first_floor-1/base_plate_second_floor-1;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_E-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/battery_lid-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/bottom_wall_protector_B-2;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_C-1;Robot_first_floor_with_cover-1/robot_first_floor-1/socket head cap screw_iso-3;Robot_first_floor_with_cover-1/robot_first_floor-1/push_button_22-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/hinge_for_camera_2-1;Robot_first_floor_with_cover-1/robot_first_floor-1/socket head cap screw_iso-4;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_D-1;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_B-2;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/bottom_wall_protector_C-2;Robot_first_floor_with_cover-1/robot_first_floor-1/first_floor_wall_protector_A-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/bottom_wall_protector_A-1;Robot_Top_subassembly-1/food_tray_v2-3;Robot_Top_subassembly-1/food_tray_v2-2;Robot_Top_subassembly-1/food_tray_v2-1;Robot_Top_subassembly-1/2020_extrusion-9;Robot_Top_subassembly-1/2020_extrusion-8;Robot_Top_subassembly-1/2020_extrusion-7;Robot_Top_subassembly-1/2020_extrusion-4;Robot_Top_subassembly-1/2020_extrusion-1;Robot_Top_subassembly-1/2020_extrusion-10;Robot_Top_subassembly-1/2020_extrusion-2;Robot_Top_subassembly-1/2020_extrusion-3;Robot_Top_subassembly-1/alu_corner_2020-15/alu_corner_bracket_20X28-1;Robot_Top_subassembly-1/alu_corner_2020-14/alu_corner_bracket_20X28-1;Robot_Top_subassembly-1/alu_corner_2020-17/alu_corner_bracket_20X28-1;Robot_Top_subassembly-1/alu_corner_2020-16/alu_corner_bracket_20X28-1;Robot_Top_subassembly-1/2020_extrusion-18;Robot_Top_subassembly-1/2020_extrusion-17;Robot_Top_subassembly-1/2020_extrusion-14;Robot_Top_subassembly-1/2020_extrusion-16;Robot_Top_subassembly-1/2020_extrusion-15;Robot_Top_subassembly-1/2020_extrusion-13;Robot_Top_subassembly-1/2020_extrusion-5;Robot_Top_subassembly-1/2020_extrusion-6;Robot_Top_subassembly-1/screen_decoy-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-2;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-3;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-4;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-5;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/wheel_leg-2;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-8;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/wheel_leg-3;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-7;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/base_frame_subassembly-1/2020_extrusion-6;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/washer_big-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/wheels_bolt-1;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/wheels_bolt-2;Robot_first_floor_with_cover-1/robot_first_floor-1/robot_bottom_floor-1/robot_chassis-1/drive_frame_subassembly-1/washer_big-2;Robot_first_floor_with_cover-1/robot_first_floor-1/emergency_switch_button-1/emergency_switch_case-1;Robot_first_floor_with_cover-1/robot_first_floor-1/emergency_switch_button-1/emergency_switch_button-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,0.010632,-0.0016703,-0.018432,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4269E-09,4.1418E-05,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/lidar_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/lidar_link.STL,,Robot_first_floor_with_cover-1/robot_first_floor-1/RP_lidar_A1-1,lidar_cs,lidar_axis,base_lidar_joint,fixed,0.17965,0.0011689,0.14817,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,-1.2594E-05,-1.1909E-07,-0.0069553,0,0,0,0.013048,2.9945E-06,4.6016E-12,2.1648E-08,1.9851E-06,2.4504E-14,4.5735E-06,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/imu_link.STL,,Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/imu_box2-1;Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/socket head cap screw_iso-1;Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/socket head cap screw_iso-3;Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/socket head cap screw_iso-4;Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/IMU_YB-MRA02-1;Robot_first_floor_with_cover-1/robot_first_floor-1/imu_assembly_2-1/socket head cap screw_iso-2,imu_cs,,base_imu_joint,fixed,4.5433E-05,3.0734E-05,0.011601,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.016393,-0.014932,-1.9236E-05,0,0,0,0.084208,4.7928E-05,-1.6932E-06,-2.8381E-08,1.5244E-05,2.4938E-09,5.159E-05,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/camera_link.STL,0.72941,0.35686,0.023529,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/camera_link.STL,,Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/Part3^camera_assembly2-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/IntelRealsense_D435-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/socket head cap screw_iso-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/M5_washer-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/torque nut 08_iso-1;Robot_first_floor_with_cover-1/robot_first_floor-1/camera_assembly2-1/M5_washer-2,camera_cs,,base_camera_joint,fixed,0.28915,0.017531,0.091186,0,-0.7854,0,base_link,0,0,0,,,,,,,,,,,,
left_wheel_link,0.0071585,-0.22416,0.29824,0,0,0,21.772,2.6849,-0.0030784,0.010532,2.6619,0.0037934,0.8177,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/left_wheel_link.STL,,,lw_cs,left_wheel_axis,base_left_wheel_joint,continuous,0.00021891,0.22503,-0.04,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_wheel_link,0.0071585,0.22584,0.29824,0,0,0,21.772,2.6849,-0.0030784,0.010532,2.6619,0.0037934,0.8177,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot_Full_Design.SLDASM/meshes/right_wheel_link.STL,,,rw_cs,right_wheel_axis,base_right_wheel_joint,continuous,0.00021891,-0.22497,-0.04,0,0,0,base_link,0,1,0,,,,,,,,,,,,
